android key,iOS key,android value,iOS value
error_no_network,general.noInternetConnnection,Ingen nätverksanslutning.,Ingen nätverksanslutning
settings_ext_src_footer_no_connections,SettingsViewController.externalSourceAllOff,Om du har ett konto hos Runkeeper eller Strava kan du koppla ihop det med Viktklubb för att logga din motion ännu smidigare.,Om du har ett konto hos RunKeeper eller Strava kan du koppla ihop det med Viktklubb för att logga din motion ännu smidigare.
settings_ext_src_all_connection_on,SettingsViewController.externalSourcesAllOn,Hämta aktiviteter från Runkeeper eller Strava dag för dag i loggboken.,Hämta aktiviteter från RunKeeper eller Strava dag för dag i loggboken.
sp_deadline_weeks,AFTWeeks.weeks,%1$d veckor,%1$@ veckor
final_goal_reached_next_action_dialog_body,NotificationNewPlanViewController.details,Efter en viktnedgång kan det lätt bli så att man återvänder till gamla mönster och går upp igen. Hur gör man för att bibehålla goda vanor? På Viktklubb kan du göra ett viktprogram för att hålla vikten och fortsätta jobba med kost och motion för att stanna där du mår som bäst.,Efter en viktnedgång kan det lätt bli så att man återvänder till gamla mönster och går upp igen. Hur gör man för att bibehålla goda vanor? På Viktklubb kan du göra en plan för att hålla vikten och fortsätta jobba med kost och motion för att stanna där du mår som bäst.
final_goal_reached_next_action_keep_weight_plan,NotificationNewPlanViewController.keepWeightButton,Hålla vikten-program,Hålla-vikten-program
final_goal_reached_next_action_lose_weight_plan,NotificationNewPlanViewController.loseWeightButton,Viktminskningprogram,Viktminskningsprogram
waist_override_warning,BodyStatisticsViewController.waistAlreadyRegistered,Du har redan registrerat midjemått denna månad", värdet skrivs över om du anger ett nytt.,Du har redan registrerat midjemått denna månad", värdet skrivs över om du anger ett nytt
weight_override_warning,BodyStatisticsViewController.weightAlreadyRegistered,Du har redan registrerat vikt denna vecka", värdret skrivs över om du anger en ny vikt.,Du har redan registrerat vikt denna vecka", värdet skrivs över om du anger ett nytt
create_food_grams_per_custom_unit_hint,CreateFoodStuff.unitConversionCommentGramsPerUnit,Gram(g) per enhet,Gram (g) per enhet
unit_conversion,CreateFoodStuff.unitConversionTitle,enhetskonvertering,Enhetskonvertering
unit_conversion_info,CreateFoodStuff.unitConversionDescription,Krävs för korrekt energiberäkning av egna enheter och volymmått.,Krävs för korrekt energiberäkning av egna enheter och volymmått
nutrition_max_value_error_message,CreateFoodStuff.nutrientsValidationComment,Den totala mängden per 100 g kan inte överstiga 100 g.,Den totala mängden per 100 g kan inte överstiga 100 g
filter_recipes_button_filters_chosen,AFTRecipeSuggestionsViewController.filters,%1$d filter används,%1$@ filter används
filter_recipes_button_filters_chosen,RecipesSearchViewController.filtersSelected,%1$d filter används,%1$@ filter används
no_filters_selected_empty_info,RecipeFilterEmptyTableViewCell.noFiltersSpecified,Gärna vegetariskt men inte laktos?\nSkapa ditt personliga receptfilter här.,Gärna vegetariskt men inte laktos? Skapa ditt personliga receptfilter här.
discard_edited_recipe_warning_message,CreateRecipe.editRecipeQuitAlertBody,Om du väljer att fortsätta raderas dina ändringar.,Om du väljer att fortsätta raderas dina ändringar. 
delete_recipe_warning_message,CreateRecipe.deleteRecipeAlertBodyTemplate,Är du säker på att du vill radera %1$s,Är du säker på att du vill radera %1$@?
